BG Word;RU Word;BG Count;RU Count
абажур;абажур;2010;420000
абанос;эбеновый;14200;11000
абат;аббат;553;346000
абатство;аббатство;9890;373000
аберация;аберрация;794;278000
абзац;абзац;28500;2380000
абисински;абиссинский;199;34800
абитуриент;абитуриент;16700;2350000
абитуриент;выпускник;16700;2520000
абитуриентски;выпускать;107000;2970000
абонамент;абонемент;2590000;1690000
абонаментен;абонементный;31700;415000
абонаментен;подписной;31700;1120000
абонат;абонент;291000;2330000
абонат;подписчик;291000;2600000
абонирам;подписывать;36500;1480000
абониране;подписка;301000;9500000
абордаж;абордаж;628;289000
абориген;абориген;692;979000
аборт;аборт;53800;2080000
аборт;выкидыш;53800;597000
абразиви;абразивы;27200;326000
абревиатура;аббревиатура;12200;1500000
абсент;абсент;749;566000
абсент;полынный;749;23300
абсолют;абсолют;12500;1800000
абсолютен;абсолютный;117000;3180000
абсолютен;безусловный;117000;1530000
абсолютен;совершенный;117000;2490000
абсолютизъм;абсолютизм;1830;302000
абсолютистки;абсолютистский;86;877
абсолютно;абсолютно;972000;3180000
абсорбирам;всасывать;186;51900
абсорбирам;всосать;186;36500
абсорбирам;усваивать;186;307000
абсорбирам;усвоить;186;1010000
абсорбиране;всасывание;613;978000
абсорбиране;усвоение;613;1990000
абсорбиращ;всасывающий;1500;137000
абсорбция;абсорбция;10400;409000
абстрактен;абстрактный;23600;1200000
абстрактен;отвлеченный;23600;283000
абстрактно;абстрактно;46800;992000
абстрактно;отвлеченно;46800;293000
абстрактност;отвлеченность;1330;75300
абстракция;абстракция;15400;1610000
абстракция;отвлеченность;15400;75300
абстрахирам;отвлекать;628;613000
абстрахирам;отвлечь;628;953000
абсурд;абсурд;76900;2240000
абсурд;нелепица;76900;97400
абсурд;нелепость;76900;762000
абсурден;абсурдный;22600;160000
абсурден;нелепый;22600;860000
абсурдно;абсурдно;80500;412000
абсурдност;абсурдность;585;399000
абсцес;абсцесс;14400;297000
абсцес;гнойник;14400;90200
абсцес;нарыв;14400;168000
абсциса;абсцисса;268;46800
ав;винт;82800;2560000
ав;облет;82800;712000
ав;штопор;82800;524000
авангард;авангард;57300;2640000
авангарден;авангардный;14900;228000
аванпост;аванпост;260;85600
аванпост;форпост;260;763000
аванс;аванс;92400;2210000
авансирам;авансировать;99;39600
