BG Word;RU Word;Friends?
бият;бы;FALSE
гласа;глаза;FALSE
губите;губите;FALSE
добродетелни;добродетели;FALSE
друг;друг;FALSE
друга;друга;FALSE
е;э;FALSE
им;им;FALSE
к;к;FALSE
ми;мы;FALSE
мъглата;могла;FALSE
остроумие;остроумные;FALSE
отто;отто;FALSE
пари;пари;FALSE
после;после;FALSE
пръстите;простите;FALSE
работя;работе;FALSE
ръка;река;FALSE
ръката;река;FALSE
сами;самый;FALSE
самият;самый;FALSE
своему;своему;FALSE
себе;себе;FALSE
страни;странный;FALSE
странни;страны;FALSE
съвършено;совершенно;FALSE
те;те;FALSE
телефона;телефонный;FALSE
телефонната;телефона;FALSE
телефонната;телефону;FALSE
то;то;FALSE
той;той;FALSE
у;у;FALSE
уж;уж;FALSE
я;я;FALSE
прав;прав;MAYBE
нужната;нужна;MAYBE
апелацията;апелляция;MAYBE
би;бы;MAYBE
бил;бил;MAYBE
бил;был;MAYBE
била;была;MAYBE
бледен;бледен;MAYBE
блестяща;блестяще;MAYBE
вас;вас;MAYBE
весла;весла;MAYBE
веслата;весла;MAYBE
все;все;MAYBE
вярно;верно;MAYBE
говорете;говорите;MAYBE
говорите;говорите;MAYBE
говоря;говоря;MAYBE
говорят;говорят;MAYBE
гръмко;громко;MAYBE
да;да;MAYBE
до;до;MAYBE
дог;дог;MAYBE
дома;дома;MAYBE
другия;другие;MAYBE
ето;это;MAYBE
живо;живо;MAYBE
за;за;MAYBE
замисли;замыслы;MAYBE
из;из;MAYBE
извинете;извините;MAYBE
иначе;иначе;MAYBE
как;как;MAYBE
капиталец;капиталец;MAYBE
кого;кого;MAYBE
край;край;MAYBE
края;края;MAYBE
ли;ли;MAYBE
машина;машина;MAYBE
машината;машина;MAYBE
мой;мой;MAYBE
на;на;MAYBE
над;над;MAYBE
него;него;MAYBE
ни;ни;MAYBE
нужно;нужно;MAYBE
от;от;MAYBE
отведе;отведя;MAYBE
по;по;MAYBE
поздравите;поздравить;MAYBE
понятно;понятно;MAYBE
права;права;MAYBE
право;право;MAYBE
предложение;предложение;MAYBE
предложение;предложения;MAYBE
предложения;предложение;MAYBE
предложения;предложения;MAYBE
при;при;MAYBE
проговори;проговорил;MAYBE
с;с;MAYBE
син;сын;MAYBE
стоят;стоят;MAYBE
стоят;стоять;MAYBE
страни;страны;MAYBE
там;там;MAYBE
число;число;MAYBE
явно;явно;MAYBE
било;было;MAYBE
а;а;TRUE
абстракция;абстракция;TRUE
автомобил;автомобиль;TRUE
автомобил;автомобиля;TRUE
автомобила;автомобиль;TRUE
автомобила;автомобиля;TRUE
адвокат;адвокат;TRUE
акт;акт;TRUE
акции;акции;TRUE
александър;александр;TRUE
ало;алло;TRUE
аномалии;аномалии;TRUE
апарати;аппараты;TRUE
архитектура;архитектуры;TRUE
ах;ах;TRUE
банка;банка;TRUE
банката;банка;TRUE
банкера;банкира;TRUE
банки;банки;TRUE
бацили;бациллы;TRUE
беден;беден;TRUE
без;без;TRUE
бездна;бездна;TRUE
безнадеждно;безнадежно;TRUE
безнаказано;безнаказанно;TRUE
безпристрастност;беспристрастности;TRUE
безразличен;безразличен;TRUE
безследно;бесследно;TRUE
безумие;безумие;TRUE
безумие;безумия;TRUE
безучастен;безучастен;TRUE
безшумно;бесшумно;TRUE
беляев;беляев;TRUE
