BG Word;RU word;BG Google Count;RU Google Count
а;а;4130000;11800000
абитуриент;абитуриент;864;1690000
абонамент;абонемент;1470000;1280000
абонат;абонент;259000;1790000
абориген;абориген;7010;880000
абревиатура;аббревиатура;907;1120000
абсорбция;абсорбция;9860;407000
абстрактен;абстрактный;20800;1110000
аванс;аванс;61800;1160000
авантюризъм;авантюризм;1570;184000
авария;авария;59800;2370000
август;август;1270000;4020000
авиобаза;авиабаза;11900;448000
автобус;автобус;310000;2190000
автомат;автомат;139000;1910000
автомобил;автомобиль;554000;3600000
автомобилен;автомобильный;149000;1650000
агент;агент;336000;2340000
агенция;агенство;1360000;1400000
агнешко;баранина;91800;815000
аграрен;аграрный;38300;1330000
агресивност;агрессивность;21300;1030000
адаптация;адаптация;165000;1460000
адвокат;адвокат;257000;1990000
административен;административный;382000;1810000
администрация;администрация;1300000;3540000
адрес;адрес;3760000;6750000
адресирам;направить;1160;1350000
аерогара;аэропорт;37500;2490000
аз;я;2060000;9080000
азбука;алфавит;139000;1460000
акварел;акварель;34400;1200000
ако;если;2690000;6890000
акредитив;аккредитив;581;526000
актьор;актер;164000;2520000
акумулирам;аккумулировать;276;222000
акуратност;аккуратность;3290;853000
акцент;акцент;573000;1600000
акцентирам;акцентировать;12800;392000
алабаш;репа;2070;1020000
албум;альбом;1080000;3410000
алгебра;алгебра;38600;1260000
ален;алый;89200;825000
алергия;алергия;35900;86400
алкохол;алкоголь;527000;1820000
ало;алло;129000;1250000
алое;алое;31900;444000
алт;альт;33000;1220000
алуминий;алюминий;79000;1350000
алчност;жадность;51000;1270000
амалгама;амальгама;13500;172000
ами;ну;1020000;2520000
амоняк;аммиак;21900;593000
амортизатор;амортизатор;463;1200000
ампер;ампер;935;285000
ампула;ампула;956;368000
амулет;амулет;12300;1180000
анализ;анализ;1500000;3400000
анализирам;анализировать;16000;1340000
ананас;ананас;49700;810000
анасон;анис;10700;272000
ангина;ангина;12400;581000
анекдот;анекдот;15300;2020000
анестезия;анестезия;17000;818000
анкета;анкета;1470000;2130000
анотация;аннотация;296000;1750000
ансамбъл;ансамбль;93800;1390000
антена;антенна;68900;1770000
антибиотик;антибиотик;30000;1350000
античност;античность;29800;870000
антре;прихожая;106000;1370000
апарат;аппарат;364000;2800000
апартамент;квартира;688000;3800000
апендисит;аппендицит;804;447000
април;апрель;1480000;7340000
